COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;USAGE;COD_ENERGIE;CONSO_TOT;BESOIN_TOT
01;2009;01;Auxiliaires;02;161935612.10239995;161935612.10239995
01;2009;01;Chauffage;01;136259096.48;90565331.04
01;2009;01;Chauffage;02;961206991.0809997;1273283642.9499996
01;2009;01;Chauffage;03;814589684.8200003;450145664.80999994
01;2009;01;Chauffage;04;2342096018.99;1707036292.26
01;2009;01;Chauffage;06;498869709.25000006;338280639.37000006
01;2009;01;Climatisation;02;671834689.46;2045961804.57
01;2009;01;ECS;01;9071833.728000002;4989509.0518
01;2009;01;ECS;02;148475611.74089998;133628066.55869998
01;2009;01;ECS;03;60263103.428;30131552.095999997
01;2009;01;ECS;04;142757484.91099995;99930247.28899999
01;2009;01;ECS;06;31425478.074100006;17284012.684199996
01;2009;01;Eclairage;02;1114264075.4569998;1114264075.4569998
01;2009;01;Ventilation;02;213304275.79540002;213304275.79540002
01;2009;02;Auxiliaires;02;86783798.78770003;86783798.78770003
01;2009;02;Chauffage;01;71553032.59799998;47577082.478999995
01;2009;02;Chauffage;02;486602717.39000005;716991445.2419999
01;2009;02;Chauffage;03;417804386.959;231002354.58899993
01;2009;02;Chauffage;04;1264052839.7649999;922410009.6849998
01;2009;02;Chauffage;06;245149899.17900005;166324909.52999994
01;2009;02;Climatisation;02;740826374.7000002;2255683856.12
01;2009;02;ECS;01;6696829.3281000005;3683255.9359999998
01;2009;02;ECS;02;114822062.591;103339849.92300001
01;2009;02;ECS;03;43714089.90800001;21857044.575000007
01;2009;02;ECS;04;107410555.69210002;75187394.1255
01;2009;02;ECS;06;20503633.5188;11276998.443300001
01;2009;02;Eclairage;02;791142334.851;791142334.851
01;2009;02;Ventilation;02;167966210.2023999;167966210.20239994
01;2009;03;Auxiliaires;02;737402554.7035998;737402554.7035998
01;2009;03;Chauffage;01;567355163.37;376748225.3
01;2009;03;Chauffage;02;4995379421.089999;6356962359.930001
01;2009;03;Chauffage;03;4083642753.6;2256376395.88
01;2009;03;Chauffage;04;10259848207.18;7475452168.39
01;2009;03;Chauffage;06;2339191374.39;1585238968.7800002
01;2009;03;Climatisation;02;996865176.8600001;3033464541.47
01;2009;03;ECS;01;16700255.756599998;9185140.688900001
01;2009;03;ECS;02;332130925.653;298917836.325
01;2009;03;ECS;03;134159608.55;67079804.426
01;2009;03;ECS;04;289353732.294;202547620.27700004
01;2009;03;ECS;06;68579367.96200001;37718652.62759999
01;2009;03;Eclairage;02;2294285725.01;2294285725.01
01;2009;03;Ventilation;02;429346443.15849996;429346443.15849996
01;2010;01;Auxiliaires;02;162520449.44229984;162520449.44229984
01;2010;01;Chauffage;01;131911546.29089999;87675724.58500002
01;2010;01;Chauffage;02;946308039.8854997;1248017380.8510997
01;2010;01;Chauffage;03;788407654.38;435676984.1171002
01;2010;01;Chauffage;04;2390711443.8818007;1754000527.0844998
01;2010;01;Chauffage;06;483013644.99569994;327528726.00680006
01;2010;01;Climatisation;02;670694776.707;2055788521.1500003
01;2010;01;ECS;01;12166332.3858;6723666.328599998
01;2010;01;ECS;02;151984281.65099996;137762581.0359
01;2010;01;ECS;03;56639757.221599996;28323660.9135
01;2010;01;ECS;04;136873829.9829;95869459.7684
01;2010;01;ECS;06;31392854.755099997;17284013.558499996
01;2010;01;Eclairage;02;1108945348.2289;1108945348.2289
01;2010;01;Ventilation;02;213035937.88939998;213035937.88939995
01;2010;02;Auxiliaires;02;86654112.47749998;86654112.47749999
01;2010;02;Chauffage;01;69258268.7449;46051282.7764
01;2010;02;Chauffage;02;488510724.7451999;710552683.1617001
01;2010;02;Chauffage;03;404346353.4822;223561289.7917
01;2010;02;Chauffage;04;1280348119.5655005;939558831.2811003
01;2010;02;Chauffage;06;237346335.71510002;161030496.66149998
01;2010;02;Climatisation;02;738842166.0040001;2264070487.2981997
01;2010;02;ECS;01;9005834.467699999;4977181.748800001
01;2010;02;ECS;02;117422815.0156;106428947.64790002
01;2010;02;ECS;03;41085754.43070001;20545622.325600006
01;2010;02;ECS;04;102960982.57579999;72115792.76870002
01;2010;02;ECS;06;20482346.143799998;11276997.3813
01;2010;02;Eclairage;02;787365930.5856999;787365930.5856999
01;2010;02;Ventilation;02;167762532.74340013;167762532.74340013
01;2010;03;Auxiliaires;02;738987131.2533009;738987131.2533009
01;2010;03;Chauffage;01;546168838.9249002;362683058.2347
01;2010;03;Chauffage;02;4877029435.288399;6194750584.309401
01;2010;03;Chauffage;03;3938781955.1409006;2176312201.7865996
01;2010;03;Chauffage;04;10413604231.485298;7699594532.2428
01;2010;03;Chauffage;06;2253117641.509501;1526918903.6699996
01;2010;03;Climatisation;02;994244201.2408998;3044907371.7077003
01;2010;03;ECS;01;23115420.932300005;12781327.424099999
01;2010;03;ECS;02;339239914.4434001;307616120.6846
01;2010;03;ECS;03;125913262.58200003;62965055.826100014
01;2010;03;ECS;04;277693923.2549;194538759.26139998
01;2010;03;ECS;06;68551518.75010002;37751134.854499996
01;2010;03;Eclairage;02;2282248551.5669;2282248551.5669
01;2010;03;Ventilation;02;428915330.21039987;428915330.2103998
01;2010;04;Auxiliaires;02;6075098.915099999;6075098.915099998
01;2010;04;Chauffage;01;13316474.037800003;9548319.2255
01;2010;04;Chauffage;02;18422541.368500005;19877895.04440003
01;2010;04;Chauffage;03;5571983.312400001;3732325.3041000003
01;2010;04;Chauffage;04;99065689.73660001;84916335.9493
01;2010;04;Chauffage;06;10446829.378700003;7652314.566400002
01;2010;04;Climatisation;02;27592232.711200006;92416995.9493
01;2010;04;ECS;01;416962.7566000001;281449.87140000006
01;2010;04;ECS;02;7989046.466699998;10785211.6906
01;2010;04;ECS;04;7439973.401399997;5951978.3819
01;2010;04;ECS;06;1547513.6733;1044571.6356999999
01;2010;04;Eclairage;02;45510288.837299995;45510288.837299995
01;2010;04;Ventilation;02;14025685.054699989;14025685.054699989
01;2011;01;Auxiliaires;02;163103597.0407;163103597.0407
01;2011;01;Chauffage;01;127576270.55720001;84794287.32300001
01;2011;01;Chauffage;02;931494000.8128;1222820867.0852995
01;2011;01;Chauffage;03;762325326.03;421263398.50629985
01;2011;01;Chauffage;04;2437765524.0558996;1800813511.2768998
01;2011;01;Chauffage;06;467200023.43880004;316805602.9025
01;2011;01;Climatisation;02;669090191.862;2064046637.8816
01;2011;01;ECS;01;15260829.125400005;8457823.359900001
01;2011;01;ECS;02;155492955.34310007;141897098.61510003
01;2011;01;ECS;03;53016399.734999985;26515769.4329
01;2011;01;ECS;04;130990181.28690001;91808674.41960001
01;2011;01;ECS;06;31360233.41780001;17284014.4096
01;2011;01;Eclairage;02;1103639885.0334995;1103639885.0334995
01;2011;01;Ventilation;02;212767964.17569995;212767964.17569992
01;2011;02;Auxiliaires;02;86492379.8503;86492379.8503
01;2011;02;Chauffage;01;66971665.5996;44530910.27419999
01;2011;02;Chauffage;02;491039950.4065001;704700436.1358002
01;2011;02;Chauffage;03;390936359.51809996;216146826.95860004
01;2011;02;Chauffage;04;1295465658.3768997;956079269.2958
01;2011;02;Chauffage;06;229564801.93099996;155751032.22360003
01;2011;02;Climatisation;02;736894219.5160997;2272577315.5216007
01;2011;02;ECS;01;11314840.842700003;6271107.579600001
01;2011;02;ECS;02;120023581.58129999;109518046.26390004
01;2011;02;ECS;03;38457421.11179999;19234200.570400003
01;2011;02;ECS;04;98511390.36679997;69044192.50020002
01;2011;02;ECS;06;20461059.514200002;11276996.297600003
01;2011;02;Eclairage;02;783598813.7623001;783598813.7623001
01;2011;02;Ventilation;02;167558958.8523999;167558958.8523999
01;2011;03;Auxiliaires;02;739615460.5343003;739615460.5343002
01;2011;03;Chauffage;01;523964718.55240005;347943535.3993
01;2011;03;Chauffage;02;4751610373.567698;6026048748.4714
01;2011;03;Chauffage;03;3796019506.8776984;2097410021.2978997
01;2011;03;Chauffage;04;10543027151.849604;7906516569.419003
01;2011;03;Chauffage;06;2166286705.4538994;1468086973.3826003
01;2011;03;Climatisation;02;991708197.4531994;3056633562.5928006
01;2011;03;ECS;01;29524886.008800007;16375112.191500004
01;2011;03;ECS;02;346467074.9672001;316476017.3121
01;2011;03;ECS;03;117688650.9052;58861150.87969999
01;2011;03;ECS;04;266173436.41740003;186639605.03119996
01;2011;03;ECS;06;68548734.01079999;37800597.7907
01;2011;03;Eclairage;02;2269857322.568099;2269857322.568099
01;2011;03;Ventilation;02;428521052.7595;428521052.7595
01;2011;04;Auxiliaires;02;11966685.071700001;11966685.071699997
01;2011;04;Chauffage;01;30098554.365400005;21578695.58349999
01;2011;04;Chauffage;02;40420341.840599954;44702294.206399985
01;2011;04;Chauffage;03;7508747.7629999975;5060544.356400001
01;2011;04;Chauffage;04;196407144.47940022;168862084.129
01;2011;04;Chauffage;06;17922938.461000003;13135454.602900002
01;2011;04;Climatisation;02;56012228.982099995;187606491.21099997
01;2011;04;ECS;01;834814.2624000001;565714.2428999998
01;2011;04;ECS;02;15686780.163199998;21678274.945699994
01;2011;04;ECS;04;14870750.4876;11963477.143799996
