COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;USAGE;COD_SYSTEME_CHAUD;COD_ENERGIE;CONSO_TOT;BESOIN_TOT
01;2009;01;Chauffage;01;01;136259096.48;90565331.04
01;2009;01;Chauffage;01;06;498869709.25000006;338280639.37000006
01;2009;01;Chauffage;03;03;814589684.8200002;450145664.81000006
01;2009;01;Chauffage;04;04;2342096018.99;1707036292.26
01;2009;01;Chauffage;05;02;47369704.46699999;97790017.72999999
01;2009;01;Chauffage;06;02;762767741.5;701746297.73
01;2009;01;Chauffage;09;02;191467220.81199995;473747327.49
01;2009;02;Chauffage;01;01;71553032.59799998;47577082.479
01;2009;02;Chauffage;01;06;245149899.17900005;166324909.53
01;2009;02;Chauffage;03;03;417804386.959;231002354.589
01;2009;02;Chauffage;04;04;1264052839.7649999;922410009.685
01;2009;02;Chauffage;05;02;23429812.833000004;48368502.414999984
01;2009;02;Chauffage;06;02;351073185.89000005;322987329.85
01;2009;02;Chauffage;09;02;139690254.65699995;345635612.977
01;2009;03;Chauffage;01;01;567355163.37;376748225.3
01;2009;03;Chauffage;01;06;2339191374.39;1585238968.78
01;2009;03;Chauffage;03;03;4083642753.6;2256376395.88
01;2009;03;Chauffage;04;04;10259848207.18;7475452168.390001
01;2009;03;Chauffage;05;02;301156405.04;621707241.57
01;2009;03;Chauffage;06;02;4079614545.6000004;3753245456
01;2009;03;Chauffage;09;02;801038588.7599999;1982009662.3600001
01;2010;01;Chauffage;01;01;130594021.07000004;86800032.20000002
01;2010;01;Chauffage;01;06;478201663.78000015;324265742.85789996
01;2010;01;Chauffage;03;03;780523624.6299996;431320214.1411
01;2010;01;Chauffage;04;04;2311807316.59;1685184597.3287
01;2010;01;Chauffage;05;02;45399144.639;93721995.9714
01;2010;01;Chauffage;06;02;838325216.1989998;771259151.6886001
01;2010;01;Chauffage;09;02;183532480.83800003;454114463.8618001
01;2010;01;Chauffage;26;02;6297410.29;6297410.3933
01;2010;02;Chauffage;01;01;68566878.11500002;45591563.12109999
